instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Virginia Military Institute,33738,33738,63546,,,,,,,
Virginia Polytechnic Institute and State University,32274,32274,52526,31622,31622,51874,19594,19594,39846,
Virginia State University,24173,24173,35928,24173,24173,35928,17461,17461,29216,
Virginia Union University,30591,30591,30591,26305,26305,26305,23805,23805,23805,
Virginia University of Lynchburg,25729,25729,25729,25729,25729,25729,14502,14502,14502,
Virginia Wesleyan University,52580,52580,52580,52700,52700,52700,41630,41630,41630,
Visible Music College,38433,38433,38433,38433,38433,38433,32433,32433,32433,
Viterbo University,44910,44910,44910,44910,44910,44910,34150,34150,34150,
Voorhees University,26336,26336,26336,27630,27630,27630,18530,18530,18530,
Wabash College,62825,62825,62825,55325,55325,55325,50325,50325,50325,
Wagner College,70114,70114,70114,70114,70114,70114,54834,54834,54834,
Wake Forest University,82988,82988,82988,82988,82988,82988,66130,66130,66130,
Waldorf University,38176,38176,38176,38176,38176,38176,29428,29428,29428,
Walla Walla University,44475,44475,44475,44475,44475,44475,34656,34656,34656,
Walnut Hill College,40053,40053,40053,40700,40700,40700,29900,29900,29900,
Walsh University,48363,48363,48363,46165,46165,46165,36511,36511,36511,
Warner Pacific University,32912,32912,32912,35374,35374,35374,32912,32912,32912,
Warner University,42854,42854,42854,45114,45114,45114,33314,33314,33314,
Warren Wilson College,53600,53600,53600,52600,52600,52600,42800,42800,42800,
Wartburg College,61870,61870,61870,61870,61870,61870,51590,51590,51590,
Washburn University,23096,23096,34380,24196,24196,35480,13439,13439,24723,
Washington & Jefferson College,65916,65916,65916,65916,65916,65916,54392,54392,54392,
Washington Adventist University,37840,37840,37840,32200,32200,32200,27400,27400,27400,
Washington and Lee University,82990,82990,82990,,,,,,,
Washington College,70375,70375,70375,66785,66785,66785,57397,57397,57397,
Washington County Community College,13495,13495,16375,15919,15919,18799,9287,9287,12167,
Washington State University,29743,29743,45427,29743,29743,45427,17347,17347,33031,
Washington University in St Louis,83476,83476,83476,83476,83476,83476,67030,67030,67030,
Wayland Baptist University,36278,36278,36278,39318,39318,39318,27618,27618,27618,
Wayne State College,21486,21486,21486,21486,21486,21486,12616,12616,12616,
Wayne State University,31548,31548,48237,33303,33303,49992,21111,21111,37800,
Waynesburg University,43230,43230,43230,40000,40000,40000,31180,31180,31180,
Weatherford College,16065,18345,20655,19237,21517,23827,11538,13818,16128,
Webb Institute,78140,78140,78140,,,,,,,
Webber International University,48698,48698,48698,46218,46218,46218,37218,37218,37218,
Weber State University,22083,22083,32776,20231,20231,30924,11851,11851,22544,
Webster University,52502,52502,52502,55814,55814,55814,42614,42614,42614,
Welch College,37040,37040,37040,37820,37820,37820,27370,27370,27370,
Wellesley College,83050,83050,83050,65770,65770,65770,65770,65770,65770,
Wells College,51012,51012,51012,51012,51012,51012,36712,36712,36712,
Wenatchee Valley College,19154,19154,19644,27766,27766,28256,10354,10354,10844,
Wentworth Institute of Technology,57380,57380,57380,57380,57380,57380,45710,45710,45710,
Wesleyan College,41146,41146,41146,41146,41146,41146,30150,30150,30150,
Wesleyan University,85172,85172,85172,,,,,,,
West Chester University of Pennsylvania,28523,28523,40347,28523,28523,40347,16951,16951,28775,
West Liberty University,24505,24505,32889,23480,23480,31864,16100,16100,24484,
West Texas A & M University,25015,25015,26910,23737,23737,25632,15155,15155,17050,
West Virginia State University,25262,25262,31000,22616,22616,28354,13048,13048,18786,
West Virginia University,24928,24928,42136,22510,22510,39718,13310,13310,30518,
West Virginia University Institute of Technology,23474,23474,35210,20998,20998,32734,11798,11798,23534,
West Virginia Wesleyan College,48701,48701,48701,42041,42041,42041,38041,38041,38041,
Western Carolina University,19341,19341,23341,20233,20233,24233,8168,8168,12168,
Western Colorado University,25635,25635,37659,27760,27760,39784,15196,15196,27220,
Western Connecticut State University,30463,30463,43357,29347,29347,42241,15895,15895,28789,
Western Illinois University,28127,28127,28127,29867,29867,29867,19367,19367,19367,
Western Iowa Tech Community College,17347,17347,17371,17348,17348,17372,11057,11057,11081,
Western Kentucky University,25448,25448,41336,28714,28714,44602,14376,14376,30264,
Western Michigan University,29426,29426,33057,29426,29426,33057,19452,19452,23083,
Western Nebraska Community College,15162,15162,15258,15032,15032,15128,7998,7998,8094,
Western New England University,62230,62230,62230,56900,56900,56900,49030,49030,49030,
Western New Mexico University,24485,24485,31115,24485,24485,31115,13545,13545,20175,
Western Oklahoma State College,19091,19091,23263,20511,20511,24683,11581,11581,15753,
Western Oregon University,25158,25158,45138,25089,25089,45069,14235,14235,34215,
Western Pennsylvania Hospital School of Nursing,26216,26216,26216,32716,32716,32716,18916,18916,18916,
Western Technical College,17674,17674,19826,17674,17674,19826,10244,10244,12396,
Western Texas College,13453,14925,15883,14624,16096,17054,8298,9770,10728,
Western Washington University,28875,28875,46781,28875,28875,46781,14184,14184,32090,
Western Wyoming Community College,16847,16847,21887,18145,18145,23185,9446,9446,14486,
Westfield State University,28406,28406,34486,28406,28406,34486,16414,16414,22494,
Westminster College,50524,50524,50524,50524,50524,50524,40996,40996,40996,
Westminster College,52850,52850,52850,52850,52850,52850,42950,42950,42950,
Westminster University,56351,56351,56351,60203,60203,60203,45536,45536,45536,
Westmont College,68826,68826,68826,62516,62516,62516,54466,54466,54466,
Wharton County Junior College,12607,13891,15135,15346,16630,17874,8835,10119,11363,
Whatcom Community College,27371,27371,33120,27371,27371,33120,9146,9146,14895,
Wheaton College,56780,56780,56780,56780,56780,56780,45090,45090,45090,
Wheaton College (Massachusetts),77030,77030,77030,77030,77030,77030,69460,69460,69460,
Wheeling University,43010,43010,43010,36190,36190,36190,33190,33190,33190,
White Earth Tribal and Community College,22500,22500,22500,22500,22500,22500,15325,15325,15325,
Whitman College,75042,75042,75042,75042,75042,75042,60822,60822,60822,
Whittier College,67487,67487,67487,61664,61664,61664,52364,52364,52364,
Whitworth University,66313,66313,66313,70016,70016,70016,61160,61160,61160,
Wichita State University,26126,26126,35486,24788,24788,34148,13516,13516,22876,
Widener University,69953,69953,69953,63681,63681,63681,55401,55401,55401,
Wilberforce University,23450,23450,23450,23100,23100,23100,16450,16450,16450,
Wiley University,20300,20300,20300,21300,21300,21300,16300,16300,16300,
Wilkes University,61755,61755,61755,56405,56405,56405,48345,48345,48345,
Willamette University,62112,62112,62112,62112,62112,62112,47772,47772,47772,
William & Mary,41118,41118,64344,41118,41118,64344,27840,27840,51066,
William Carey University,30933,30933,30933,30933,30933,30933,23470,23470,23470,
William Jessup University,54602,54602,54602,60946,60946,60946,42676,42676,42676,
William Jewell College,34408,34408,34408,37853,37853,37853,25010,25010,25010,
William Paterson University of New Jersey,32524,32524,41524,32476,32476,41476,21146,21146,30146,
William Peace University,49784,49784,49784,47500,47500,47500,38488,38488,38488,
William Penn University,41700,41700,41700,41700,41700,41700,35260,35260,35260,
William Woods University,46450,46450,46450,44140,44140,44140,36000,36000,36000,
Williams Baptist University,32790,32790,32790,32330,32330,32330,24630,24630,24630,
Williams College,81000,81000,81000,,,,,,,
Williamson College of the Trades,37380,37380,37380,,,,,,,
Williston State College,18324,18324,18324,21432,21432,21432,9376,9376,9376,
Wilmington College,44190,44190,44190,36340,36340,36340,33990,33990,33990,
Wilson College,40972,40972,40972,36972,36972,36972,29872,29872,29872,
Wingate University,59020,59020,59020,63066,63066,63066,49636,49636,49636,
Winona State University,23686,23686,30418,23686,23686,30418,14032,14032,20764,
Winston-Salem State University,22412,22412,33068,23281,23281,33937,11604,11604,22260,
Winthrop University,31162,31162,45492,36278,36278,50608,20668,20668,34998,
Wisconsin Lutheran College,48514,48514,48514,50294,50294,50294,37644,37644,37644,
Wittenberg University,57586,57586,57586,57586,57586,57586,46306,46306,46306,
Wofford College,70193,70193,70193,64176,64176,64176,55992,55992,55992,
Woodbury University,63249,63249,63249,68704,68704,68704,50434,50434,50434,
Worcester Polytechnic Institute,76040,76040,76040,76040,76040,76040,60996,60996,60996,
Worcester State University,27099,27099,33179,19754,19754,25834,14354,14354,20434,
Word of Life Bible Institute,21300,21300,21300,21300,21300,21300,12500,12500,12500,
Wright State University-Lake Campus,23356,23356,32774,23356,23356,32774,11856,11856,21274,
Wright State University-Main Campus,26120,26120,35538,26120,26120,35538,15434,15434,24852,
Xavier University,63320,63320,63320,63320,63320,63320,49500,49500,49500,
Xavier University of Louisiana,40871,40871,40871,43116,43116,43116,30471,30471,30471,
Yakima Valley College,18065,18065,18555,25947,25947,26437,9162,9162,9652,
Yale University,85120,85120,85120,,,,,,,
Yavapai College,16792,16792,23452,18426,18426,25086,6272,6272,12932,
Yeshiva Bais Aharon,16350,16350,16350,30540,30540,30540,15750,15750,15750,
Yeshiva Chemdas Hatorah,19830,19830,19830,32740,32740,32740,17950,17950,17950,
Yeshiva College of the Nations Capital,24800,24800,24800,24800,24800,24800,12800,12800,12800,
Yeshiva D'monsey Rabbinical College,17700,17700,17700,29190,29190,29190,14400,14400,14400,
Yeshiva Derech Chaim,21500,21500,21500,33290,33290,33290,18500,18500,18500,
Yeshiva Gedola Tiferes Yaakov Yitzchok,19900,19900,19900,,,,,,,
Yeshiva Gedola Tiferes Yerachmiel,14750,14750,14750,,,,,,,
Yeshiva Gedolah Keren Hatorah,15050,15050,15050,30140,30140,30140,15350,15350,15350,
Yeshiva Gedolah Kesser Torah,20100,20100,20100,32690,32690,32690,17900,17900,17900,
Yeshiva Gedolah of Cliffwood,15550,15550,15550,,,,,,,
Yeshiva Gedolah of Greater Detroit,17600,17600,17600,25820,25820,25820,14400,14400,14400,
Yeshiva Gedolah of Woodlake Village,14350,14350,14350,29440,29440,29440,14650,14650,14650,
Yeshiva Gedolah Shaarei Shmuel,15820,15820,15820,30310,30310,30310,15520,15520,15520,
Yeshiva Gedolah Tiferes Boruch,15300,15300,15300,,,,,,,
Yeshiva Gedolah Zichron Leyma,17550,17550,17550,31940,31940,31940,17150,17150,17150,
Yeshiva Karlin Stolin,19300,19300,19300,34700,34700,34700,17500,17500,17500,
Yeshiva Kollel Tifereth Elizer,20900,20900,20900,32890,32890,32890,18100,18100,18100,
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,23750,23750,23750,35090,35090,35090,20300,20300,20300,
Yeshiva of Nitra Rabbinical College,22800,22800,22800,34050,34050,34050,17850,17850,17850,
Yeshiva of Ocean,14550,14550,14550,,,,,,,
Yeshiva of the Telshe Alumni,21200,21200,21200,31790,31790,31790,17000,17000,17000,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,27600,27600,27600,33190,33190,33190,19500,19500,19500,
Yeshiva Ohr Naftoli,19280,19280,19280,,,,,,,
Yeshiva Ohr Yisrael,18645,18645,18645,26925,26925,26925,15175,15175,15175,
Yeshiva Shaar Ephraim,23575,23575,23575,26175,26175,26175,18675,18675,18675,
Yeshiva Shaarei Torah of Rockland,24095,24095,24095,36465,36465,36465,21675,21675,21675,
Yeshiva Sholom Shachna,19450,19450,19450,31340,31340,31340,16550,16550,16550,
Yeshiva Toras Chaim,22150,22150,22150,33340,33340,33340,18550,18550,18550,
Yeshiva University,69300,69300,69300,68733,68733,68733,52413,52413,52413,
Yeshiva Yesoda Hatorah Vetz Chaim,26300,26300,26300,28200,28200,28200,22700,22700,22700,
Yeshiva Yesodei Hatorah,19300,19300,19300,33090,33090,33090,18300,18300,18300,
Yeshiva Zichron Aryeh,19000,19000,19000,29340,29340,29340,14550,14550,14550,
Yeshivah Gedolah Rabbinical College,18200,18200,18200,,,,,,,
Yeshivas Be'er Yitzchok,20850,20850,20850,32040,32040,32040,17250,17250,17250,
Yeshivas Emek Hatorah,16950,16950,16950,30340,30340,30340,15550,15550,15550,
Yeshivas Maharit D'Satmar,19420,19420,19420,29500,29500,29500,17200,17200,17200,
Yeshivas Novominsk,19500,19500,19500,32390,32390,32390,17600,17600,17600,
Yeshivath Beth Moshe,18100,18100,18100,,,,,,,
Yeshivath Shaar Hatorah,21870,21870,21870,,,,,,,
Yeshivath Viznitz,16896,16896,16896,30030,30030,30030,15240,15240,15240,
Yeshivath Zichron Moshe,22100,22100,22100,34540,34540,34540,19750,19750,19750,
York College of Pennsylvania,38900,38900,38900,39400,39400,39400,27220,27220,27220,
York County Community College,19850,19850,22730,19260,19260,22140,8660,8660,11540,
York University,32950,32950,32950,31570,31570,31570,23950,23950,23950,
Young Harris College,46604,46604,46604,39674,39674,39674,38414,38414,38414,
Youngstown State University,25044,25044,25404,25044,25044,25404,15496,15496,15856,
