instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Claremont McKenna College,82127,82127,82127,81587,81587,81587,72068,72068,72068,
Clarendon College,14838,15558,16518,16556,17276,18236,15956,16676,17636,
Clark Atlanta University,40924,40924,40924,40924,40924,40924,29942,29942,29942,
Clark University,65266,65266,65266,65366,65366,65366,54202,54202,54202,
Clarke University,53632,53632,53632,53632,53632,53632,43032,43032,43032,
Clarks Summit University,39700,39700,39700,41800,41800,41800,32700,32700,32700,
Clarkson College,25974,25974,25974,27270,27270,27270,18690,18690,18690,
Clarkson University,77058,77058,77058,77320,77320,77320,61288,61288,61288,
Clayton  State University,20687,20687,31409,20174,20174,30896,9707,9707,20429,
Clear Creek Baptist Bible College,21175,21175,21175,25676,25676,25676,16055,16055,16055,
Cleary University,42829,42829,42829,35229,35229,35229,28629,28629,28629,
Clemson University,34750,34750,58694,34750,34750,58694,24262,24262,48206,
Cleveland Institute of Art,63840,63840,63840,63840,63840,63840,51610,51610,51610,
Cleveland Institute of Music,58843,58843,58843,56843,56843,56843,45543,45543,45543,
Cleveland State University,30821,30821,36036,31714,31714,36929,16624,16624,21839,
Clinton College,25015,25015,25015,25765,25765,25765,12216,12216,12216,
Cloud County Community College,17324,17534,17714,17324,17534,17714,10604,10814,10994,
Coahoma Community College,10673,10673,10673,12753,12753,12753,6753,6753,6753,
Coalinga College,12974,12974,21704,24520,24520,33250,6782,6782,15512,
Coastal Alabama Community College,17720,17720,21470,18520,18520,22270,11170,11170,14920,
Coastal Bend College,12952,14812,15262,15159,17019,17469,6867,8727,9177,
Coastal Carolina University,27426,27426,44276,26798,26798,43648,17256,17256,34106,
Cochise County Community College District,14237,14237,18053,19482,19482,23298,7410,7410,11226,
Coe College,65284,65284,65284,65114,65114,65114,54364,54364,54364,
Coffeyville Community College,13840,13840,15408,13740,13740,15308,6740,6740,8308,
Coker University,45104,45104,45104,41412,41412,41412,35212,35212,35212,
Colby College,81550,81550,81550,71420,71420,71420,65220,65220,65220,
Colby Community College,15320,15470,17010,16172,16322,17862,8146,8296,9836,
Colby-Sawyer College,66532,66532,66532,65524,65524,65524,50164,50164,50164,
Colgate University,83650,83650,83650,,,,,,,
College for Creative Studies,63381,63381,63381,63381,63381,63381,54531,54531,54531,
College of Charleston,31478,31478,54298,31063,31063,53883,18492,18492,41312,
College of Coastal Georgia,22283,22283,29189,17381,17381,24287,10147,10147,17053,
College of Micronesia-FSM,12413,12413,12413,12830,12830,12830,9650,9650,9650,
College of Our Lady of the Elms,59381,59381,59381,55144,55144,55144,45330,45330,45330,
